Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"AJANTPHARM","961.85","987.95","960.60","983.00","26.60","2.78","3.34","32.64","1,457.75","895.85","-27.34","5.64"
"CHENNPETRO","255.90","265.80","255.00","261.75","7.05","2.77","4.14","10.86","371.40","196.80","-23.99","14.03"
"IDFCFIRSTB","49.15","50.65","48.65","50.30","1.35","2.76","142.50","71.08","52.30","32.70","-","-"
"ORIENTBANK","95.30","98.25","94.80","97.10","2.60","2.75","25.38","24.60","105.70","58.00","3.02","5.83"
"BEL","87.75","89.60","87.30","89.60","2.40","2.75","59.28","52.50","154.30","72.50","-39.15","9.40"
"EICHERMOT","21,948.55","22,599.95","21,895.00","22,466.10","595.05","2.72","1.51","338.82","32,236.70","18,800.00","-18.93","6.45"
"KSCL","424.90","437.00","423.80","433.80","11.25","2.66","8.37","36.05","660.70","368.80","-8.44","-23.37"
"NCC","100.50","103.20","100.35","102.55","2.65","2.65","119.32","121.57","136.70","63.25","-14.75","28.43"
"SAIL","53.95","55.40","53.70","54.90","1.40","2.62","126.86","69.35","91.10","44.00","-26.11","16.07"
"PFC","109.35","112.20","108.15","111.65","2.85","2.62","40.78","45.08","118.60","67.50","21.49","10.00"
"TATAPOWER","71.20","71.90","70.30","71.80","1.80","2.57","38.35","27.34","89.55","59.80","-10.14","1.99"
"JETAIRWAYS","252.00","255.00","248.10","249.45","6.20","2.55","62.38","156.16","732.50","162.80","-64.04","5.32"
"MARICO","337.40","343.90","334.40","343.00","8.45","2.53","19.57","66.53","396.60","282.95","13.09","-6.01"
"HINDALCO","197.00","200.85","196.10","200.50","4.95","2.53","41.23","81.97","267.80","182.20","-9.97","-5.16"
"BANKINDIA","88.55","91.90","88.55","91.05","2.25","2.53","73.29","66.61","118.70","73.20","-8.63","-0.92"
"ADANIPOWER","49.70","52.45","49.35","51.25","1.25","2.50","177.09","90.88","58.35","15.15","96.36","34.69"
"TATASTEEL","510.00","522.40","509.50","520.55","12.70","2.50","46.77","241.69","660.95","441.35","-18.14","7.31"
"DIVISLAB","1,650.10","1,695.35","1,650.10","1,687.75","40.35","2.45","4.73","79.49","1,725.00","980.50","68.32","2.09"
"HEROMOTOCO","2,745.00","2,828.40","2,745.00","2,807.35","67.00","2.44","6.65","186.51","3,825.00","2,561.00","-21.73","-2.52"
"L&TFH","142.60","146.00","141.95","145.30","3.45","2.43","42.69","61.59","189.50","110.65","-8.39","12.99"
"ASIANPAINT","1,389.20","1,414.80","1,385.00","1,414.45","32.10","2.32","9.00","126.00","1,490.60","1,092.15","25.44","-3.74"
"GLENMARK","598.00","614.00","598.00","611.95","13.90","2.32","2.56","15.60","711.90","493.50","10.67","-4.61"
"BERGEPAINT","303.00","310.00","300.60","309.20","6.85","2.27","6.46","19.77","349.90","238.00","25.46","-0.47"
"APOLLOTYRE","212.80","219.05","212.35","217.10","4.80","2.26","30.87","66.74","307.25","192.05","-16.50","9.01"
"IFCI","13.45","14.30","13.40","13.80","0.30","2.22","33.64","4.67","22.70","11.50","-34.44","9.52"
"BANKBARODA","114.50","117.20","114.25","116.10","2.50","2.20","92.19","107.18","157.50","91.00","-13.58","6.32"
"STAR","432.90","446.00","432.90","442.05","9.40","2.17","6.69","29.48","728.00","333.30","-32.97","6.05"
"DISHTV","37.85","39.20","37.35","38.10","0.80","2.14","74.29","28.51","82.35","19.10","-44.09","39.05"
